WSHED_NAME,WSHED_CODE,Total Sq Miles,Total Stream Miles,Total Lake Acres,Total Wetland Acres,Trout Waters Miles,Impaired Streams Miles,Impaired Lakes Acres,nonPointSourceOverallRank,nonPointSourceGroundwaterRank
Des Plaines River,FX01,133,216,755,7194,0,0,0,3,3
Lower Fox River (IL),FX02,114,145,2176,9772,3.7,38.1,0,3,3
White River and Nippersink Creek,FX03,168,239,8603,10839,2.7,0,0,3,3
Middle Fox River (IL),FX04,248,316,6810,22751,19.4,62.1,1389,3,3
Sugar and Honey Creeks,FX05,166,209,1943,9489,4.4,18.4,162,3,3
Mukwonago River,FX06,86,63,2340,4822,15.2,0,0,3,3
Upper Fox River (IL),FX07,151,218,2907,12048,15.1,65.2,24.7,3,3
Pike Creek (Kenosha),SE01,27,25,4234,1194,0,0,1.7,3,3
Pike River,SE02,57,85,4846,702,0,8,0,1,1
Root River,SE03,199,306,968,6176,0,39.4,84.2,3,3
Wind Point,SE04,19,21,7114,441,0,0,0.5,3,3
Oak Creek,SE05,26,48,28,441,0,13.3,0,3,3
